,Target,Importance
4549,LNCaP-abl_Epithelium_Prostate | POLR2A | ID:58632,265
8828,GM12878 | Pol2 | ENCODE | 3,240
6629,Endothelial_Cell_Umbilical_Vein | POLR2A | ID:72622,239
9284,K562 | Pol2(phosphoS2) | ENCODE,220
6314,LNCaP_LNCaP_cells | MYC | ID:70753,216
6316,LNCaP_LNCaP_cells | MYC | ID:70755,162
3299,Proerythroblast_Fetal_Liver | EZH1 | ID:50378,143
7017,T47D_Breast | KMT2D | ID:74823,141
9079,HepG2 | EZH2 | ENCODE,139
6628,Endothelial_Cell_Umbilical_Vein | POLR2A | ID:72621,133
7509,ZNF532-NUT_24335_NMC | BRD4 | ID:81898,123
6833,293T | ZNF101 | ID:73976,115
1276,U2OS_Bone | ZMYND11 | ID:41756,114
9361,MCF-7 | Pol2 | ENCODE,107
6644,HeLa_Epithelium_Cervix | LMNA | ID:72793,99
5945,C4-2_Prostate | POLR2A | ID:68071,98
2744,T47D_Epithelium_Mammary_Gland | PR | ID:47573,96
5944,C4-2_Prostate | POLR2A | ID:68069,95
4799,HEK293_Epithelium_Embryonic_Kidney | ZFP3 | ID:62817,93
9114,HepG2 | Pol2(phosphoS2) | ENCODE,87
9113,HepG2 | Pol2 | ENCODE | 2,86
6326,HCT-116_Colon_cancer_cell_Colon | MYC | ID:70805,85
7970,MCF-7_Epithelium_Breast | ZNF711 | ID:84930,79
1813,K562_Erythroblast_Bone_Marrow | CBX8 | ID:45398,78
6449,Osteoblast | BRD4 | ID:71254,76
9466,U2OS | SETDB1 | ENCODE,73
6979,GM12878_B_Lymphocyte_Blood | BATF3 | ID:74651,65
9110,HepG2 (forskolin) | Pol2 | ENCODE,64
5643,HEK293_Epithelium_Embryonic_Kidney | ZNF467 | ID:65062,63
4503,LNCaP-abl_Epithelium_Prostate | POLR2A | ID:58318,63
6313,LNCaP_LNCaP_cells | MYC | ID:70752,63
3226,Epithelium_Prostate | AR | ID:50059,62
1264,GM19141_Lymphoblastoid_Blood | POLR2A | ID:41693,59
8537,LNCaP_Epithelium_Prostate | TRIM28 | ID:88682,58
3728,T47D_Epithelium_Mammary_Gland | CHD8 | ID:53400,58
8855,GM12878 | YY1 | ENCODE,56
9158,HUVEC | EZH2 | ENCODE,56
4428,PC-3_Epithelium_Prostate | EP300 | ID:57302,56
4184,293T | BRD4 | ID:55817,56
8824,GM12878 | Pol2-4H8 | ENCODE,53
4372,SMMC-7721_Liver | PBX3 | ID:56901,53
2472,H1_Embryonic_Stem_Cell_Embryo | SIX5 | ID:46188,52
8305,TIME_Fibroblast | POLR2A | ID:87448,51
5645,HEK293_Epithelium_Embryonic_Kidney | ZNF547 | ID:65067,51
9359,MCF-7 | GATA3 | ENCODE | 1,50
1621,T_Lymphocyte_Blood | STAT5 | ID:44087,50
4081,H3396_Epithelium_Mammary_Gland | CREB1 | ID:5553,49
9285,K562 | Pol2(phosphoS2) | ENCODE | 1,47
5913,HEK293T_Epithelium_Embryonic_Kidney | TET2 | ID:67858,47
6624,A375_Melanoma_Cell | SP1 | ID:72611,47
3511,HEK293T_Epithelium_Embryonic_Kidney | POLR2A | ID:51772,47
2324,U2OS_Bone | SETDB1 | ID:46045,47
8066,MIN_cancer_cells_Breast | ESR1 | ID:85649,46
7315,293T | ZNF429 | ID:77127,45
2733,U2OS_Bone | ZBTB17 | ID:47490,44
805,MCF-7_Epithelium_Breast | GREB1 | ID:36822,44
7368,Breast | TRIM25 | ID:77298,44
1118,Kasumi-1_Myeloblast_Blood | RUNX1 | ID:39785,44
2781,Raji_B_Lymphocyte_Blood | POLR2A | ID:47812,43
5673,HEK293_Epithelium_Embryonic_Kidney | SP4 | ID:65110,43
4427,PC-3_Epithelium_Prostate | EP300 | ID:57301,43
9111,HepG2 | Pol2 | ENCODE,42
114,IMR90_Fibroblast_Lung | RBL2 | ID:1876,42
8679,CD19_Primary_Cells_Peripheral_ | DNase.fdr0.01.peaks | Roadmap,42
9386,NHEK | EZH2 | ENCODE,42
3070,H9_Embryonic_Stem_Cell_Embryo | POLR2A | ID:49548,41
9202,K562 | CHD2 | ENCODE,41
7707,TTC1240_Malignant_rhabdoid_tumor | SMARCC1 | ID:83224,41
9254,K562 | KAP1 | ENCODE,41
7514,Chondrocyte_Cartilage | HCFC1R1 | ID:81963,40
6274,293T | TET2 | ID:70095,40
3352,Fibroblast | GTF2I | ID:50708,40
7372,Macrophage | SP140 | ID:77331,39
2442,GM12892_Lymphoblastoid_Blood | POLR2A | ID:46159,39
538,HeLa_Epithelium_Cervix | SUMO1 | ID:34374,39
4278,OF4155_Neural_Progenitor_Cell | FOXP1 | ID:56275,39
5631,A549_Epithelium_Lung | HES2 | ID:65022,39
2944,Epithelium_Liver | SPI1 | ID:48704,38
6354,Raji_B_Lymphocyte_Blood | POLR2A | ID:70958,38
7345,293T | ZNF10 | ID:77179,36
3501,HUES64_Embryonic_Stem_Cell_Embryo | TRIM28 | ID:51617,36
3395,Neural_Stem_Cell | CHD8 | ID:51103,36
3676,BT-474_Epithelium_Mammary_Gland | HOXB7 | ID:53089,36
5458,A549_Epithelium_Lung | EP300 | ID:64534,36
7967,MCF-7_Epithelium_Breast | ZFX | ID:84928,36
6158,Foreskin | TP53 | ID:69457,36
8570,J-Lat_A72 | POLR2A | ID:88927,35
4052,786-O_Epithelium_Kidney | SPI1 | ID:55390,35
8799,GM12878 | GABP | ENCODE,34
8519,MCF-7_Epithelium_Breast | T | ID:88590,34
3300,Proerythroblast_Fetal_Liver | EZH2 | ID:50379,33
8393,K562_Erythroblast_Bone_Marrow | WHSC1 | ID:8786,33
3917,MCF-7_Epithelium_Breast | LMTK3 | ID:54380,33
113,IMR90_Fibroblast_Lung | RBL2 | ID:1875,32
3141,Fibroblast | BRD4 | ID:49744,32
8934,H1-hESC | GABP | ENCODE,32
455,BJ_Fibroblast_Skin | SOX2 | ID:33707,31
8152,HCT-116_HCT116 | POLR2A | ID:86354,31
8311,TIME_Fibroblast | POLR2A | ID:87454,31
8800,GM12878 | IKZF1 | ENCODE,31
8933,H1-hESC | FOSL1 | ENCODE,31
3074,Embryonic_Stem_Cell_Embryo | ZNF486 | ID:49604,31
1824,K562_Erythroblast_Bone_Marrow | CREBBP | ID:45422,31
9024,HeLa-S3 | Ini1 | ENCODE,30
3235,GM12878_B_Lymphocyte_Blood | POLR2A | ID:5008,30
7044,THP-1_Macrophage | POLR3D | ID:74907,30
4465,Kasumi-1_Myeloblast_Blood | RUNX1T1 | ID:58032,30
1187,BCBL1_B_cell_lymphoma | CTCF | ID:40379,30
8993,HEK293 | Pol2 | ENCODE,30
5641,HEK293_Epithelium_Embryonic_Kidney | ZNF329 | ID:65060,29
5658,HEK293_Epithelium_Embryonic_Kidney | SP2 | ID:65084,29
7325,293T | ZNF284 | ID:77146,29
5674,HEK293_Epithelium_Embryonic_Kidney | SP4 | ID:65111,29
6003,LHCN-M2_Myoblast_Skeletal_Muscle | DUX4 | ID:68379,29
3148,iPSC | CHD8 | ID:49778,29
2836,PC-3_Epithelium_Prostate | AR | ID:48096,29
