,Target,importance
14580,"LNCaP_LNCaP_cells | MYC | ID:70753
",0.21490909
14582,"LNCaP_LNCaP_cells | MYC | ID:70755
",0.21171081
16619,"7250_Fibroblast | DNase | ID:78207
",0.17934614
14579,"LNCaP_LNCaP_cells | MYC | ID:70752
",0.16905728
14583,"LNCaP_LNCaP_cells | MYC | ID:70756
",0.15630735
14442,"melanoma | H3K27me3 | ID:69918
",0.15452242
3276,"HeLa_Epithelium_Cervix | CENPA | ID:41251
",0.15150319
21027,"HepG2 | Pol2(phosphoS2) | ENCODE
",0.15108529
21026,"HepG2 | Pol2 | ENCODE | 2
",0.15016443
17851,"HeLa_Epithelium_Cervix | TCOF1 | ID:83101
",0.14627348
5991,"Cortex_Brain | H3K27ac | ID:47192
",0.14509775
9968,"LNCaP-abl_Epithelium_Prostate | POLR2A | ID:58632
",0.14209512
8352,"LNCaP_Epithelium_Prostate | GATA2 | ID:54396
",0.14109771
15241,"SEM_B_cell_precursor | AFF4 | ID:72467
",0.14094539
14850,"Gastric_Primary_Sample | H3K4me3 | ID:71411
",0.1395283
14444,"melanoma | H3K27me3 | ID:69920
",0.13814157
18273,"TIME_Fibroblast | POLR2A | ID:84404
",0.13801892
11711,"iPS_DF_19.11_iPSC_Foreskin | H3K4me3 | ID:6402
",0.13782604
5066,"SK-N-SH_RA_Neuron_Brain | H3K27me3 | ID:45541
",0.13711306
15268,"Endothelial_Cell_Umbilical_Vein | POLR2A | ID:72622
",0.13656837
3028,"B_Lymphocyte_Cord_blood | H3K9me3 | ID:4079
",0.1364258
401,"MCF-7_Epithelium_Breast | CTCF | ID:2255
",0.1358633
13256,"HUES48_Embryonic_Stem_Cell_Embryo | H3K9me3 | ID:6668
",0.13523087
14549,"U2OS_Bone | MYC | ID:70560
",0.1339321
4678,"SK-N-MC_Brain | DNase | ID:45066
",0.13057603
15969,"Monocyte_Blood | H3K27me3 | ID:74852
",0.12885405
20539,"GM12878 | Pol2 | ENCODE | 3
",0.1282222
16034,"Blast_Cells_Blood | H3K27me3 | ID:75054
",0.12816818
21596,"NHEK | CTCF | ENCODE | 1
",0.12785056
6924,"Fibroblast | BRD4 | ID:49747
",0.12610501
21049,"HepG2 | ZNF274 | ENCODE
",0.12577677
15267,"Endothelial_Cell_Umbilical_Vein | POLR2A | ID:72621
",0.12553743
14581,"LNCaP_LNCaP_cells | MYC | ID:70754
",0.12518212
13988,"FFPE | H3K4me3 | ID:68560
",0.124560915
10225,"IMEC_Epithelium_Breast | POLR2A | ID:59630
",0.12412676
17823,"hESC | H3K27me3 | ID:82987
",0.12351267
12414,"HEK293_Epithelium_Embryonic_Kidney | ZNF329 | ID:65060
",0.12347184
21456,"LNCaP (androgen) | DNase | ENCODE
",0.12336087
7559,"HUES64_Embryonic_Stem_Cell_Embryo | POU5F1 | ID:51542
",0.12268061
10495,"SNU638 | H3K27ac | ID:61993
",0.12237256
14443,"melanoma | H3K27me3 | ID:69919
",0.122146666
7670,"MDA-MB-436_Epithelium_Breast | H3K27me3 | ID:51799
",0.12201842
2124,"T_Lymphocyte_Blood | H3K4me3 | ID:38027
",0.12177391
20991,"HepG2_Hepatocellular_Carcinoma | H3K27me3 | Roadmap
",0.12174583
21400,"K562 | Pol2(phosphoS2) | ENCODE
",0.12165237
18434,"Patient | H3K27ac | ID:84879
",0.1205343
874,"Epithelium_Small_Intestine | H3K27ac | ID:33227
",0.12025601
13787,"C4-2_Prostate | POLR2A | ID:68071
",0.11994589
14104,"MCF-7_Epithelium_Breast | ESR1 | ID:68874
",0.119777024
15907,"HepG2_Epithelium_Liver | RUVBL1 | ID:74673
",0.11917802
9371,"Brain | H3K27ac | ID:57024
",0.11907961
14382,"HT29_colorectal_adenocarcinoma | H3K27ac | ID:69790
",0.11834791
17351,"A375_Melanoma_Cell | H3K27ac | ID:81762
",0.11806705
4212,"Endothelial_Cell_Artery | H3K9me3 | ID:43813
",0.117363214
21401,"K562 | Pol2(phosphoS2) | ENCODE | 1
",0.11716692
13263,"B_Lymphocyte | H3K27ac | ID:66710
",0.11710545
20878,"HEK293 | Pol2 | ENCODE
",0.116361834
20831,"H9_Cell_Line | H3K9me3 | Roadmap
",0.11594341
15640,"293T | ZNF101 | ID:73976
",0.115911365
21158,"HUES64_Cell_Line | H3K36me3 | Roadmap
",0.11553624
20957,"HeLa-S3 | ZNF274 | ENCODE
",0.11480888
6406,"MCF-7_Epithelium_Breast | ESR1 | ID:48168
",0.11450253
15436,"H9_Embryonic_Stem_Cell_Embryo | H3K4me1 | ID:73201
",0.114326805
15631,"293T | ZNF331 | ID:73956
",0.11401754
8123,"T_Lymphocyte_Blood | STAT5B | ID:53637
",0.11395904
16597,"Patient | H3K9me2 | ID:77507
",0.113864265
12143,"A549_Epithelium_Lung | CEBPB | ID:64671
",0.113372914
