,Target,Weight
6316,LNCaP_LNCaP_cells | MYC | ID:70755,0.4503226
9114,HepG2 | Pol2(phosphoS2) | ENCODE,0.4131712
6314,LNCaP_LNCaP_cells | MYC | ID:70753,0.4101127
9284,K562 | Pol2(phosphoS2) | ENCODE,0.40410987
4549,LNCaP-abl_Epithelium_Prostate | POLR2A | ID:58632,0.38685754
6833,293T | ZNF101 | ID:73976,0.37983924
9136,HepG2 | ZNF274 | ENCODE,0.3769683
9113,HepG2 | Pol2 | ENCODE | 2,0.37203747
9246,K562 | HDAC6 | ENCODE,0.34266973
6015,K562_Lymphoblast | KAT5 | ID:68490,0.33036628
3920,LNCaP_Epithelium_Prostate | GATA2 | ID:54396,0.3276137
7679,HeLa_Epithelium_Cervix | TCOF1 | ID:83101,0.32494906
8828,GM12878 | Pol2 | ENCODE | 3,0.32262552
6607,SEM_B_cell_precursor | AFF4 | ID:72467,0.31866553
6303,U2OS_Bone | MYC | ID:70560,0.31616786
5944,C4-2_Prostate | POLR2A | ID:68069,0.31382087
9079,HepG2 | EZH2 | ENCODE,0.31163892
6810,293T | ZNF708 | ID:73930,0.30908847
6313,LNCaP_LNCaP_cells | MYC | ID:70752,0.30756035
8993,HEK293 | Pol2 | ENCODE,0.3035133
5641,HEK293_Epithelium_Embryonic_Kidney | ZNF329 | ID:65060,0.3029557
9109,HepG2 | Pol2-4H8 | ENCODE,0.30050078
9058,HeLa-S3 | ZNF274 | ENCODE,0.2944298
8851,GM12878 | TR4 | ENCODE,0.2908006
9285,K562 | Pol2(phosphoS2) | ENCODE | 1,0.2859394
7001,HepG2_Epithelium_Liver | RUVBL1 | ID:74673,0.28542203
7889,TIME_Fibroblast | POLR2A | ID:84404,0.28258458
3144,Fibroblast | BRD4 | ID:49747,0.28244084
7978,CHL-1_melanoma_Skin | BRD4 | ID:85029,0.28197575
4651,IMEC_Epithelium_Breast | POLR2A | ID:59630,0.27866325
4799,HEK293_Epithelium_Embryonic_Kidney | ZFP3 | ID:62817,0.2775026
5945,C4-2_Prostate | POLR2A | ID:68071,0.2752024
7017,T47D_Breast | KMT2D | ID:74823,0.26987255
1092,OCI-Ly7_B_cell_lymphoma_Blood | BACH2 | ID:39577,0.26681304
4597,caki-1_Kidney | KDM5C | ID:58887,0.26387137
2840,MCF-7_Epithelium_Breast | ESR1 | ID:48168,0.2635651
7602,HeLa_Adherent_HeLa_cells | POLR2A | ID:82511,0.26258603
6631,Endothelial_Cell_Umbilical_Vein | ETS1 | ID:72624,0.2621838
4615,NB4_Promyelocytic_cell_Blood | LYL1 | ID:59005,0.26176977
3758,T_Lymphocyte_Blood | STAT5B | ID:53637,0.26136205
9056,HeLa-S3 | ZKSCAN1 | ENCODE,0.26114887
3273,LNCaP_Epithelium_Prostate | CTBP2 | ID:50249,0.26083735
1327,OCI-Ly3_B_Lymphocyte_Bone_Marrow | STAT3 | ID:42214,0.2605314
8549,HepG2_Epithelium_Liver | INO80 | ID:88796,0.26017007
9111,HepG2 | Pol2 | ENCODE,0.25953162
9110,HepG2 (forskolin) | Pol2 | ENCODE,0.25780308
