,Target,Importance
4549,LNCaP-abl_Epithelium_Prostate | POLR2A | ID:58632,364
9284,K562 | Pol2(phosphoS2) | ENCODE,310
8828,GM12878 | Pol2 | ENCODE | 3,273
6629,Endothelial_Cell_Umbilical_Vein | POLR2A | ID:72622,270
6314,LNCaP_LNCaP_cells | MYC | ID:70753,266
3299,Proerythroblast_Fetal_Liver | EZH1 | ID:50378,246
9079,HepG2 | EZH2 | ENCODE,234
6833,293T | ZNF101 | ID:73976,199
5945,C4-2_Prostate | POLR2A | ID:68071,196
1276,U2OS_Bone | ZMYND11 | ID:41756,181
6316,LNCaP_LNCaP_cells | MYC | ID:70755,168
7017,T47D_Breast | KMT2D | ID:74823,167
4799,HEK293_Epithelium_Embryonic_Kidney | ZFP3 | ID:62817,165
9361,MCF-7 | Pol2 | ENCODE,160
9114,HepG2 | Pol2(phosphoS2) | ENCODE,145
6644,HeLa_Epithelium_Cervix | LMNA | ID:72793,139
7970,MCF-7_Epithelium_Breast | ZNF711 | ID:84930,130
7509,ZNF532-NUT_24335_NMC | BRD4 | ID:81898,129
6326,HCT-116_Colon_cancer_cell_Colon | MYC | ID:70805,123
3503,HUES64_Embryonic_Stem_Cell_Embryo | MYC | ID:51628,115
4184,293T | BRD4 | ID:55817,111
6628,Endothelial_Cell_Umbilical_Vein | POLR2A | ID:72621,106
9158,HUVEC | EZH2 | ENCODE,105
5944,C4-2_Prostate | POLR2A | ID:68069,103
6313,LNCaP_LNCaP_cells | MYC | ID:70752,100
9113,HepG2 | Pol2 | ENCODE | 2,98
2744,T47D_Epithelium_Mammary_Gland | PR | ID:47573,96
1187,BCBL1_B_cell_lymphoma | CTCF | ID:40379,94
6315,LNCaP_LNCaP_cells | MYC | ID:70754,91
6979,GM12878_B_Lymphocyte_Blood | BATF3 | ID:74651,88
8305,TIME_Fibroblast | POLR2A | ID:87448,87
8066,MIN_cancer_cells_Breast | ESR1 | ID:85649,86
9046,HeLa-S3 | SPT20 | ENCODE,79
7514,Chondrocyte_Cartilage | HCFC1R1 | ID:81963,78
9298,K562 | SIX5 | ENCODE,76
1609,H9_Embryonic_Stem_Cell_Embryo | TP53 | ID:43998,75
4428,PC-3_Epithelium_Prostate | EP300 | ID:57302,73
7368,Breast | TRIM25 | ID:77298,73
4052,786-O_Epithelium_Kidney | SPI1 | ID:55390,71
