,Target,Weights
9136,HepG2 | ZNF274 | ENCODE,0.6517078
6833,293T | ZNF101 | ID:73976,0.5376893
9114,HepG2 | Pol2(phosphoS2) | ENCODE,0.47566074
9058,HeLa-S3 | ZNF274 | ENCODE,0.46637288
6607,SEM_B_cell_precursor | AFF4 | ID:72467,0.45142937
4049,SW480_Colon | TP53 | ID:55387,0.45105356
6314,LNCaP_LNCaP_cells | MYC | ID:70753,0.44830146
3557,IMR90_Fibroblast_Lung | TP53 | ID:52097,0.43882194
9284,K562 | Pol2(phosphoS2) | ENCODE,0.43278322
6303,U2OS_Bone | MYC | ID:70560,0.41779414
6316,LNCaP_LNCaP_cells | MYC | ID:70755,0.41611522
6843,endometrioid_adenocarcinoma | ESR1 | ID:73998,0.40743643
3273,LNCaP_Epithelium_Prostate | CTBP2 | ID:50249,0.40029028
5945,C4-2_Prostate | POLR2A | ID:68071,0.39584297
4799,HEK293_Epithelium_Embryonic_Kidney | ZFP3 | ID:62817,0.37718073
9384,NHEK | CTCF | ENCODE | 1,0.37205604
6049,K562_Leukemia_Cell | SPI1 | ID:68826,0.3697572
6015,K562_Lymphoblast | KAT5 | ID:68490,0.36970013
4549,LNCaP-abl_Epithelium_Prostate | POLR2A | ID:58632,0.36548874
4479,Glioblastoma_Stem_Cell | SOX2 | ID:58175,0.36371598
4483,Neural_Progenitor_Cell | SOX2 | ID:58179,0.3610694
3920,LNCaP_Epithelium_Prostate | GATA2 | ID:54396,0.35758162
9079,HepG2 | EZH2 | ENCODE,0.35537001
6810,293T | ZNF708 | ID:73930,0.35500616
3758,T_Lymphocyte_Blood | STAT5B | ID:53637,0.3463285
7889,TIME_Fibroblast | POLR2A | ID:84404,0.34173462
9113,HepG2 | Pol2 | ENCODE | 2,0.339138
9295,K562 | SETDB1 | ENCODE,0.33888945
9110,HepG2 (forskolin) | Pol2 | ENCODE,0.3376404
5370,A549_Epithelium_Lung | CEBPB | ID:64281,0.33664262
9333,K562 | ZNF274 | ENCODE | 1,0.3360187
6313,LNCaP_LNCaP_cells | MYC | ID:70752,0.332326
1473,AC16_Cardiomyocyte | POLR2A | ID:42903,0.33117372
2221,K562_Erythroblast_Bone_Marrow | USF2 | ID:45941,0.33101273
8828,GM12878 | Pol2 | ENCODE | 3,0.33081815
4914,A549_Epithelium_Lung | NR3C1 | ID:63109,0.33064497
6993,K562_Erythroblast_Bone_Marrow | NRF1 | ID:74665,0.32848766
7017,T47D_Breast | KMT2D | ID:74823,0.3244173
6171,MV4-11_Leukemia_Cell | AFF1 | ID:69559,0.3233192
6440,Osteoblast | POLR2A | ID:71244,0.32252008
1523,MM1.S_B_Lymphocyte_Blood | CDK8 | ID:43095,0.31961045
8200,MCF-7_Epithelium_Breast | AR | ID:86735,0.31940803
1327,OCI-Ly3_B_Lymphocyte_Bone_Marrow | STAT3 | ID:42214,0.31918484
6935,MCF-7_Breast | ESR1 | ID:74396,0.3170974
9057,HeLa-S3 | Znf143 | ENCODE,0.31339732
8129,ZNF532-NUT_24335_NMC | EP300 | ID:86023,0.31334844
1689,Fibroblast | ERCC6 | ID:44357,0.31281826
3144,Fibroblast | BRD4 | ID:49747,0.3125766
8851,GM12878 | TR4 | ENCODE,0.3121826
3858,MCF-7_Epithelium_Breast | PR | ID:54037,0.30826873
3309,hMADS-3_Adipocyte_Adipose | CREBBP | ID:50403,0.30359396
6018,Neural_Progenitor_Cell | POU3F2 | ID:68572,0.30346116
8301,Progenitor_Cells | EP300 | ID:87438,0.3030278
7823,BICR31_squamous_cell_carcinoma_Head_and_neck | EP300 | ID:84010,0.3029377
3163,SK-N-MC_Brain | FLI1 | ID:49856,0.30085006
4177,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:55800,0.29959208
6943,LNCaP_Epithelium_Prostate | AR | ID:74411,0.29854292
5944,C4-2_Prostate | POLR2A | ID:68069,0.29633296
7831,Proerythroblast_Blood | SMAD1 | ID:8414,0.2947077
3834,MCF-7_Epithelium_Breast | EP300 | ID:54003,0.29361212
3900,Mesenchymal_Stem_Cell | ATF4 | ID:54139,0.29353794
7602,HeLa_Adherent_HeLa_cells | POLR2A | ID:82511,0.29268804
4503,LNCaP-abl_Epithelium_Prostate | POLR2A | ID:58318,0.29176542
1095,LS180_Epithelium_Colon | CREBBP | ID:39654,0.29136735
4651,IMEC_Epithelium_Breast | POLR2A | ID:59630,0.29078552
4767,Colon | POLR2A | ID:62737,0.29065222
7001,HepG2_Epithelium_Liver | RUVBL1 | ID:74673,0.29002
9109,HepG2 | Pol2-4H8 | ENCODE,0.28998607
816,Neural_crest_cell_Cranial | TFAP2A | ID:36958,0.2897186
4761,A549_Epithelium_Lung | FOSL2 | ID:62717,0.2893727
6670,Prostate | AR | ID:72970,0.2891557
6959,Prostate | CHD1 | ID:74565,0.28806588
2840,MCF-7_Epithelium_Breast | ESR1 | ID:48168,0.28770792
890,ME-1_Leukemia_Cell | MYH11 | ID:37623,0.28630862
6704,B_cell_precursor | IKZF1 | ID:73236,0.285919
1308,HCT-116_Colon | CTCF | ID:42152,0.28481323
3350,Fibroblast | GTF2I | ID:50699,0.28425106
9361,MCF-7 | Pol2 | ENCODE,0.2828417
8496,HCT-116_Colon | NIPBL | ID:88450,0.28278586
242,T98G_Brain | EP300 | ID:2752,0.2825504
7978,CHL-1_melanoma_Skin | BRD4 | ID:85029,0.2821655
1571,Fibroblast_Foreskin | CBX8 | ID:43569,0.2816941
9151,HSMMtube | EZH2 | ENCODE,0.28084612
7429,226LDM | CTCF | ID:81228,0.28023565
5980,LNCaP_Epithelium_Prostate | AR | ID:68217,0.279251
3074,Embryonic_Stem_Cell_Embryo | ZNF486 | ID:49604,0.27817985
5643,HEK293_Epithelium_Embryonic_Kidney | ZNF467 | ID:65062,0.27805156
166,MCF-7_Epithelium_Breast | CTCF | ID:2255,0.27777255
9246,K562 | HDAC6 | ENCODE,0.27748168
3198,GM18526_Lymphoblastoid_Blood | POLR2A | ID:5001,0.27627423
6631,Endothelial_Cell_Umbilical_Vein | ETS1 | ID:72624,0.2762169
554,Keratinocyte_Foreskin | TP63 | ID:34559,0.27588612
43,HeLa_Epithelium_Cervix | GLYR1 | ID:1225,0.27381697
5680,HEK293_Epithelium_Embryonic_Kidney | ZNF768 | ID:65118,0.27321175
8553,CHL-1_melanoma_Skin | BRD4 | ID:88862,0.2722122
1854,A549_Epithelium_Lung | MYC | ID:45560,0.27221027
863,Jurkat_E6-1_T_Lymphocyte_Blood | RUNX1 | ID:37384,0.27119157
469,NB4_Promyelocytic_cell_Blood | POLR2A | ID:33862,0.2709215
6561,CAL-1_Plasmacytoid_dendritic_cell | TCF4 | ID:72367,0.270373
6008,Erythroid_Cell | USF2 | ID:68455,0.2698047
222,NB4_Promyelocytic_cell_Blood | POLR2A | ID:2462,0.26962602
4994,K562_Erythroblast_Bone_Marrow | ZBTB11 | ID:63304,0.2682978
1084,MDA-MB-231_Epithelium_Breast | FOXM1 | ID:39460,0.2676689
6623,A375_Melanoma_Cell | HEXIM1 | ID:72610,0.26727274
3499,HUES64_Embryonic_Stem_Cell_Embryo | THAP11 | ID:51611,0.26722804
4103,HCT-116_Colon | ELL2 | ID:55645,0.26637447
5143,MCF-7_Epithelium_Breast | FOXK2 | ID:63643,0.2652083
3958,MCF-7_Epithelium_Breast | EP300 | ID:54636,0.26518276
9390,NHLF | EZH2 | ENCODE,0.26487958
1877,GM08714_Blood | ZNF274 | ID:45583,0.2643886
6494,MCF-7_Breast | MED1 | ID:71865,0.26412758
5897,SUM149R | BRD4 | ID:67799,0.2640857
4743,HEK293_Epithelium_Embryonic_Kidney | ZNF16 | ID:62681,0.26393577
3789,HEK293A | MEF2B | ID:53873,0.2637154
9285,K562 | Pol2(phosphoS2) | ENCODE | 1,0.26322064
4366,K562_Erythroblast_Bone_Marrow | KRAB | ID:56843,0.263156
4615,NB4_Promyelocytic_cell_Blood | LYL1 | ID:59005,0.26307407
4045,VCaP_Epithelium_Prostate | POLR2A | ID:55360,0.2629908
7470,Fibroblast | PSMD1 | ID:81596,0.26258653
949,H1_Embryonic_Stem_Cell_Embryo | POLR2A | ID:38292,0.26212102
1611,Haematopoietic_Progenitor_Cell_Cord_blood | MEIS1 | ID:4400,0.26199248
1247,"GM06993,_GM11992_Lymphoblastoid_Blood | TP53 | ID:41496",0.26181057
7599,T47D_Epithelium_Mammary_Gland | PR | ID:82474,0.26064974
1315,K562_Erythroblast_Bone_Marrow | CTCF | ID:42159,0.26022327
9048,HeLa-S3 | STAT3 | ENCODE,0.25995287
5047,HEK293_Epithelium_Embryonic_Kidney | ZFP69B | ID:63424,0.25970706
3477,HUES64_Embryonic_Stem_Cell_Embryo | SMAD1 | ID:51559,0.25930494
5713,HEK293_Epithelium_Embryonic_Kidney | ZNF322 | ID:65166,0.2591683
3468,HUES64_Embryonic_Stem_Cell_Embryo | POU5F1 | ID:51542,0.25906172
308,P493-6_B_cell_lymphoma | POLR2A | ID:32820,0.25844753
601,HeLa-S3_Epithelium_Cervix | BRDU | ID:35290,0.25836027
1016,LoVo_Colon | ETV5 | ID:38759,0.257897
3073,Embryonic_Stem_Cell_Embryo | ZNF486 | ID:49603,0.25748685
5124,A549_Epithelium_Lung | BCL3 | ID:63602,0.2573067
8824,GM12878 | Pol2-4H8 | ENCODE,0.25718185
5802,SK-N-SH_Neuroblastoma_cell_Brain | RARA | ID:67427,0.25680876
1872,Caco-2_Epithelium_Colon | CTCF | ID:45578,0.25637043
219,MR4_Promyelocytic_cell_Bone_Marrow | PML | ID:2448,0.25552368
239,T98G_Brain | CREBBP | ID:2749,0.25547144
9319,K562 | TR4 | ENCODE,0.25497076
47,HeLa-S3_Epithelium_Cervix | NR2C2 | ID:1298,0.25495163
7449,K562_Erythroblast_Bone_Marrow | NUP98 | ID:81393,0.25455225
933,H54_Glial_Cell_Brain | CTCF | ID:38192,0.25350052
1909,GM12878_B_Lymphocyte_Blood | E2F4 | ID:45617,0.25338554
